Flow,Packet,Class,Arrival,Deadline,Execution Time,Gate Open,Gate Close,Response Time,Status,Scheduled,Deadline Met,Solver_Execution_Time_Seconds,Solver_Execution_Time_Minutes,Solver_Status,Objective_Value,Stopping_Reason
F16,P16_2,5,400000,800000,6645,632179.0,638824.0,238824.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F16,P16_3,8,800000,1200000,6645,833513.0,840158.0,40158.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F17,P17_1,3,0,400000,600,133870.0,134470.0,134470.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F17,P17_2,3,400000,800000,600,550454.0,551054.0,151054.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F17,P17_3,8,800000,1200000,600,888235.0,888835.0,88835.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F18,P18_1,2,0,200000,1553,75830.0,77383.0,77383.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F18,P18_2,2,200000,400000,1553,348447.0,350000.0,150000.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F18,P18_3,8,400000,600000,1553,520378.0,521931.0,121931.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F18,P18_4,2,600000,800000,1553,693715.0,695268.0,95268.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F18,P18_5,2,800000,1000000,1553,957712.0,959265.0,159265.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F18,P18_6,8,1000000,1200000,1553,1164910.0,1166463.0,166463.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_1,7,0,50000,3226,23030.0,26256.0,26256.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_2,7,50000,100000,3226,96774.0,100000.0,50000.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_3,8,100000,150000,3226,144031.0,147257.0,47257.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_4,7,150000,200000,3226,190471.0,193697.0,43697.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_5,7,200000,250000,3226,246774.0,250000.0,50000.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_6,8,250000,300000,3226,254697.0,257923.0,7923.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_7,7,300000,350000,3226,346774.0,350000.0,50000.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_8,7,350000,400000,3226,357153.0,360379.0,10379.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_9,8,400000,450000,3226,404601.0,407827.0,7827.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_10,7,450000,500000,3226,494031.0,497257.0,47257.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_11,7,500000,550000,3226,546774.0,550000.0,50000.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_12,8,550000,600000,3226,584444.0,587670.0,37670.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_13,7,600000,650000,3226,606451.0,609677.0,9677.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_14,7,650000,700000,3226,696774.0,700000.0,50000.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_15,8,700000,750000,3226,703804.0,707030.0,7030.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_16,7,750000,800000,3226,753708.0,756934.0,6934.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_17,7,800000,850000,3226,806451.0,809677.0,9677.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_18,8,850000,900000,3226,894031.0,897257.0,47257.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_19,7,900000,950000,3226,944031.0,947257.0,47257.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_20,7,950000,1000000,3226,989394.0,992620.0,42620.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_21,8,1000000,1050000,3226,1003804.0,1007030.0,7030.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_22,7,1050000,1100000,3226,1096774.0,1100000.0,50000.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_23,7,1100000,1150000,3226,1103804.0,1107030.0,7030.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F19,P19_24,8,1150000,1200000,3226,1184444.0,1187670.0,37670.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F2,P2_1,6,0,400000,600,112060.0,112660.0,112660.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F2,P2_2,6,400000,800000,600,562783.0,563383.0,163383.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F2,P2_3,8,800000,1200000,600,886147.0,886747.0,86747.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F20,P20_1,7,0,400000,841,90323.0,91164.0,91164.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F20,P20_2,7,400000,800000,841,480337.0,481178.0,81178.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F20,P20_3,8,800000,1200000,841,884298.0,885139.0,85139.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F21,P21_1,7,0,200000,680,78952.0,79632.0,79632.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F21,P21_2,7,200000,400000,680,340948.0,341628.0,141628.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F21,P21_3,8,400000,600000,680,528232.0,528912.0,128912.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F21,P21_4,7,600000,800000,680,690620.0,691300.0,91300.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F21,P21_5,7,800000,1000000,680,934297.0,934977.0,134977.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F21,P21_6,8,1000000,1200000,680,1172764.0,1173444.0,173444.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F22,P22_1,7,0,100000,797,41452.0,42249.0,42249.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F22,P22_2,7,100000,200000,797,183127.0,183924.0,83924.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F22,P22_3,8,200000,300000,797,250096.0,250893.0,50893.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
F22,P22_4,7,300000,400000,797,350096.0,350893.0,50893.0,Scheduled - Deadline Met,Yes,Yes,79.29618096351624,1.3216030160586039,2,88.0,Proven Optimal (Gap = 0%)
